army_leadership_1;Army Leadership 1;Fortifications de campagne;Feldbefestigungen;;;;;;;;;;;x
army_leadership_9_desc;Draconian punishments have been adopted by our military. Soldiers are punished for the smallest of code offences. This will allow for greater discipline in the ranks. Officers are naturally exempt.;;;;;;;;;;;;;x
army_leadership_10;Army Leadership 10 ;;;;;;;;;;;;;x
army_leadership_10_desc;The generals of our country have devised new tactical manuevers to reduce casulties while increasing enemy losses.;;;;;;;;;;;;;x
army_leadership_11;Army Leadership 11 ;;;;;;;;;;;;;x
army_leadership_11_desc;All of histories greatest battles that are remembered are the ones in which a small force fought larger armies. Unfortunately those same small armies also went on to loose the battle which is why they are remembered. But they are remembered because of the glory they won, let us look back Thermopylae and Gaugamela for modern inspiration.;;;;;;;;;;;;;x
army_leadership_12;Army Leadership 12 ;;;;;;;;;;;;;x
army_leadership_12_desc;The establishment of a general war commission responsible for army revenue and removed control of the military from control by the estates to the direct command under the monarchy.;;;;;;;;;;;;;x
army_leadership_13;Army Leadership 13 ;;;;;;;;;;;;;x
army_leadership_13_desc;Strict enforcement of dress codes led to greater morale amongst soldiers who take pride of their appearance, even while under heavy enemy fire amidst the dense smoke of volley fire and the thundering roar of cannons in the distance.;;;;;;;;;;;;;x
army_leadership_14;Army Leadership 14 ;;;;;;;;;;;;;x
army_leadership_14_desc;For centuries gunpowder armies were recruited mostly from towns, but a reform recently signed into law allows for even the peasants to serve in the army and fight for their country.;;;;;;;;;;;;;x
army_leadership_15;Army Leadership 15 ;;;;;;;;;;;;;x
army_leadership_15_desc;By the mid-18th century, armies were better drilled and organised than they had been a century earlier. Our soldiers know this and will fight with more pride in their eyes knowing that our nation will rise to glory in years to come!;;;;;;;;;;;;;x
army_leadership_16;Army Leadership 16 ;;;;;;;;;;;;;x
army_leadership_16_desc;Non commissioned officers are now being used as trainers for new recruits entering the rank and file. Our soldiers feel confident of their wisdom and experience.;;;;;;;;;;;;;x
army_leadership_17;Army Leadership 17 ;;;;;;;;;;;;;x
army_leadership_17_desc;The generals have found new ways to reorganise the national army into a strict order of battle.;;;;;;;;;;;;;x
army_leadership_18;Army Leadership 18 ;;;;;;;;;;;;;x
army_leadership_18_desc;The order of battle has been reformed so that regiments develop an espirit d'corps.;;;;;;;;;;;;;x
army_leadership_19;Army Leadership 19 ;;;;;;;;;;;;;x
army_leadership_19_desc;Military marching even in peacetime allows our army to maintain their order and discipline so that when war does break out again they will be ready to fight.;;;;;;;;;;;;;x
army_leadership_20;Army Leadership 20 ;;;;;;;;;;;;;x
army_leadership_20_desc;Encouraging the rank and file to regard their service in the military as a patriotic duty to their country will boost morale.;;;;;;;;;;;;;x
army_leadership_21;Army Leadership 21 ;;;;;;;;;;;;;x
army_leadership_21_desc;Permanent NCO trainers have been established at rear area military field camps to train new recruits. This will improve the fighting effiency of our entire land army.;;;;;;;;;;;;;x
army_leadership_22;Army Leadership 22 ;;;;;;;;;;;;;x
army_leadership_22_desc;The officers have looked back at the glorious battles of antiquity and many style seek similar personal glory. This has led to more reckless behaviour but an improvement in overall morale.;;;;;;;;;;;;;x
army_leadership_23;Army Leadership 23 ;;;;;;;;;;;;;x
army_leadership_23_desc;We have reformed the system of purchasing officer commissions. Officers must serve strict tours of duty before returning home.;;;;;;;;;;;;;x
army_leadership_24;Army Leadership 24 ;;;;;;;;;;;;;x
army_leadership_24_desc;Our generals have learned new battlefield tactics.;;;;;;;;;;;;;x
army_leadership_25;Army Leadership 25 ;;;;;;;;;;;;;x
army_leadership_25_desc;We have learned new tactical delay strategies to keep larger armies from overwhelming our own forces before they have time to reorganise for an attack.;;;;;;;;;;;;;x
army_leadership_26;Army Leadership 26 ;;;;;;;;;;;;;x
army_leadership_26_desc;An ingenious formation has been developed to maximise infantry fire power while advancing on the enemy, it is called the column. We have also learned new heavier line formation tactics to deal with enemy columns.;;;;;;;;;;;;;x
army_leadership_27;Army Leadership 27 ;;;;;;;;;;;;;x
army_leadership_27_desc;Saddle orders have recieved renewed focus with commanders now able to prioritise orders and assign special couriers for specific assignments.;;;;;;;;;;;;;x
army_leadership_28;Army Leadership 28 ;;;;;;;;;;;;;x
army_leadership_28_desc;We have learned new ways to mobilise a national army.;;;;;;;;;;;;;x
army_leadership_29;Army Leadership 29 ;;;;;;;;;;;;;x
army_leadership_29_desc;An army marches on its stomach. Without food and supplies our soldiers will suffer attrition, we have discovered land supply convoys are the best solution to this dilemma.;;;;;;;;;;;;;x
army_leadership_30;Army Leadership 30 ;;;;;;;;;;;;;x
army_leadership_30_desc;The early 19th century brought about many improvements to military organisation. We have developed a more flexible military staff system to ensure that military leaders not the general are allowed to issue their own orders.;;;;;;;;;;;;;x
army_leadership_31;Army Leadership 31 ;;;;;;;;;;;;;x
army_leadership_31_desc;Improved training of our officers has allowed them to study the recent tactical developments and apply them to evolving battlefield situations.;;;;;;;;;;;;;x
army_leadership_32;Army Leadership 32 ;;;;;;;;;;;;;x
army_leadership_32_desc;Our regimental commanding officers are now trained to take the initiative on the battlefield.;;;;;;;;;;;;;x
army_leadership_33;Army Leadership 33 ;;;;;;;;;;;;;x
army_leadership_33_desc;We are now allowing the promotion of officers from the ranks not just the aristocracy. This has led to a professional officer class in our country.;;;;;;;;;;;;;x
army_leadership_34;Army Leadership 34 ;;;;;;;;;;;;;x
army_leadership_34_desc;Strategic doctrine has developed into two opposing schools, those who favour the offense and technical development who call themselves 'Clauswitzian' and those who support a focus on morale who call themselves the 'Jominians'.;;;;;;;;;;;;;x
army_leadership_35;Army Leadership 35 ;;;;;;;;;;;;;x
army_leadership_35_desc;Army academic training meant that to be come an officer it was no longer enough to be of gentile blood. You also had to attend a formal education which could at best be as good as any college. This was one of the most important causes behind the professionalization of the officers corps.;;;;;;;;;;;;;x
army_leadership_36;Army Leadership 36 ;;;;;;;;;;;;;x
army_leadership_36_desc;We have developed an advanced battlefield courier system allowing for the continuous issuing of orders on the move.;;;;;;;;;;;;;x
army_leadership_37;Army Leadership 37 ;;;;;;;;;;;;;x
army_leadership_37_desc;As the armies of the 19th century got larger they had to learn how to fight on a grand scale in a complex strategic environment.;;;;;;;;;;;;;x
army_leadership_38;Army Leadership 38 ;;;;;;;;;;;;;x
army_leadership_38_desc;Our generals have delegated power and responsibility to the divisional level while they focus on the overall campaign strategy.;;;;;;;;;;;;;x
army_leadership_39;Army Leadership 39 ;;;;;;;;;;;;;x
army_leadership_39_desc;Since our generals have delegated power and responsibility to divisional commanders they have had time to develop a system of mobile command posts rather relying on the traditional static HQ.;;;;;;;;;;;;;x
army_leadership_40;Army Leadership 40 ;;;;;;;;;;;;;x
army_leadership_40_desc;The grand age of pitched field battles is coming to an end. With the development of industrial technology standing campaigns are increasingly fought on a larger scale. Thankfully our generals have devised new ways utilise technology to our advantage.;;;;;;;;;;;;;x
army_leadership_41;Army Leadership 41 ;;;;;;;;;;;;;x
army_leadership_41_desc;The issuing of orders can now take place with the use of a telegraph. Strategic mobility is bolstered by this new age technology.;;;;;;;;;;;;;x
army_leadership_42;Army Leadership 42 ;;;;;;;;;;;;;x
army_leadership_42_desc;The grand battle plan has been replaced by strategic doctrine. Armies still fight in pitched battles but the emphasis is now on caputring strategic supply depots and using cavalry to scout and flank enemy positions.;;;;;;;;;;;;;x
army_leadership_43;Army Leadership 43 ;;;;;;;;;;;;;x
army_leadership_43_desc;As the industrial revolutions advances our armies are now able to inflict more casulties upon the enemy with new guns and artillery our industry supplies them with.;;;;;;;;;;;;;x
army_leadership_44;Army Leadership 44 ;;;;;;;;;;;;;x
army_leadership_44_desc;Nationalism and imperialism fuel our industry. Some of that excitement has rubbed of on our soldiers who gladly die for the empire.;;;;;;;;;;;;;x
army_leadership_45;Army Leadership 45 ;;;;;;;;;;;;;x
army_leadership_45_desc;We are entering a new age of industrial warfare. Our generals are developing proto-type plans for defending fixed positions and using engineers to fortify vulnerable points of the battlefield.;;;;;;;;;;;;;x
army_leadership_46;Army Leadership 46 ;;;;;;;;;;;;;x
army_leadership_46_desc;Our generals have learned new ways to deal with partisans and insurgents improving the efficiency of the militias.;;;;;;;;;;;;;x
army_leadership_47;Army Leadership 47 ;;;;;;;;;;;;;x
army_leadership_47_desc;The glory days of armies fighting in pitched battles is now over. Our generals are developing new defensive strategies.;;;;;;;;;;;;;x
army_leadership_48;Army Leadership 48 ;;;;;;;;;;;;;x
army_leadership_48_desc;Focusing on the defensive has allowed the military to rely on a clear defensive doctrine. This allows a small forces to defend key strategic provinces.;;;;;;;;;;;;;x
army_leadership_49;Army Leadership 49 ;;;;;;;;;;;;;x
army_leadership_49_desc;We have developed a Frontline Doctrine which allows our land army to focus on fighting across an entire region, rather than a province.;;;;;;;;;;;;;x
army_leadership_50;Army Leadership 50 ;;;;;;;;;;;;;x
army_leadership_50_desc;After the enemy had gone over the top and his offensive was ebbing this tactics meant preplanned counterattacks against gaps in the enemy line where advance had not been synchronized. These counterattacks could sometimes push back the enemy even further than is original attacking positions.;;;;;;;;;;;;;x
army_leadership_51;Army Leadership 51 ;;;;;;;;;;;;;x
army_leadership_51_desc;At this points the trenches grow to formidable systems of trenches with two or even three lines of defenses bolstered with concrete fortifications and machine gun positions. The scene was as captured from the 'Inferno' section of Dante Alighieris 'Divina Comedia'.;;;;;;;;;;;;;x
army_leadership_52;Army Leadership 52 ;;;;;;;;;;;;;x
army_leadership_52_desc;The historical interwar period allowed for more research into the efficient use of the division rather than the regiment in the overall strategic doctrine.;;;;;;;;;;;;;x
army_leadership_53;Army Leadership 53 ;;;;;;;;;;;;;x
army_leadership_53_desc;After the end of the First World War, the major powers had to re-evaluate their military strategies in light of the brutual lessons learned during the years of inconclusive trench warfare. One major school of thought that emerged focussed on the importance of using massed firepower, principally in the form of artillery, to overwhelm the enemy and literally blast a hole in their lines to facilitate an advance, while another school of thought suggested that the key to victory on the modern battlefield was mobility, so that friendly forces could maneouvre around enemy strongpoints to pursue the attack on more advantageous terms.;;;;;;;;;;;;;x
army_leadership_54;Army Leadership 54 ;;;;;;;;;;;;;x
army_leadership_54_desc;With the advent of aircraft, it was not long until the question arose of how they could be used in wartime. At first their primary use was for reconnaissance, but soon thereafter aircraft began to be used to bomb military targets, and to shoot down other aircraft. New ideas and concept had to thus be evolved in order to best utilize this new military weapon.;;;;;;;;;;;;;x
infantry_1;Infantry 1;;;;;;;;;;;;;x
infantry_1_desc;The styles of warfare in the 18th Century changed by way of new organizational approaches to fielding and maintaining a professional army.;;;;;;;;;;;;;x
infantry_2;Infantry 2 ;;;;;;;;;;;;;x
infantry_2_desc;We have improved the resolve of our infantry to hold their nerve while under fire.;;;;;;;;;;;;;x
infantry_3;Infantry 3 ;;;;;;;;;;;;;x
infantry_3_desc;We have improved the resolve of our infantry to hold their nerve while under fire.;;;;;;;;;;;;;x
infantry_4;Infantry 4  ;;;;;;;;;;;;;x
infantry_4_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_5;Infantry 5 ;;;;;;;;;;;;;x
infantry_5_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_6;Infantry 6 ;;;;;;;;;;;;;x
infantry_6_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_7;Infantry 7 ;;;;;;;;;;;;;x
infantry_7_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_8;Infantry 8 ;;;;;;;;;;;;;x
infantry_8_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_9;Infantry 9; ;;;;;;;;;;;;;x
infantry_9_desc;The infantry are now equipped with an improved socket bayonet allowing for greater defence against cavalry.;;;;;;;;;;;;;x
infantry_10;Infantry 10 ;;;;;;;;;;;;;x
infantry_10_desc;The line regiments have been equipped with the latest in smoothbore musket technology and have been trained in the most modern drill techniques. Their rate of fire has increased.;;;;;;;;;;;;;x
infantry_11;Infantry 11 ;;;;;;;;;;;;;x
infantry_11_desc;We have improved the resolve of our infantry to hold their nerve while under fire and also regimental cohesion.;;;;;;;;;;;;;x
infantry_12;Infantry 12 ;;;;;;;;;;;;;x
infantry_12_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_13;Infantry 13 ;;;;;;;;;;;;;x
infantry_13_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_14;Infantry 14 ;;;;;;;;;;;;;x
infantry_14_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_15;Infantry 15 ;;;;;;;;;;;;;x
infantry_15_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_16;Infantry 16 ;;;;;;;;;;;;;x
infantry_16_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_17;Infantry 17 ;;;;;;;;;;;;;x
infantry_17_desc;The line regiments of our army are now trained in the field of distance marching and the idea of the forced march, a tactic adopted from the classical world and the campaigns of the roman legions. ;;;;;;;;;;;;;x
infantry_18;Infantry 18 ;;;;;;;;;;;;;x
infantry_18_desc;Infantry are now organised into smaller units down to the company level allowing for improved tactical flexibility while on the battlefield ;;;;;;;;;;;;;x
infantry_19;Infantry 19 ;;;;;;;;;;;;;x
infantry_19_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_20;Infantry 20 ;;;;;;;;;;;;;x
infantry_20_desc;We have discovered the square formation and advanced volley fire tactics ;;;;;;;;;;;;;x
infantry_21;Infantry 21 ;;;;;;;;;;;;;x
infantry_21_desc;We have greatly improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_22;Infantry 22 ;;;;;;;;;;;;;x
infantry_22_desc;The infantry are undergoing a military modernization process. We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_23;Infantry 23 ;;;;;;;;;;;;;x
infantry_23_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_24;Infantry 24 ;;;;;;;;;;;;;x
infantry_24_desc;Our land regiments will now benefit from an espirit d'corps mentality ;;;;;;;;;;;;;x
infantry_25;Infantry 25 ;;;;;;;;;;;;;x
infantry_25_desc;Flintlock rifles were heavier than traditional muskets and slower to reload but their accuracy and firepower were greatly increased.;;;;;;;;;;;;;x
infantry_26;Infantry 26 ;;;;;;;;;;;;;x
infantry_26_desc;The land regiments of our army have finished their modernization process and will now hold their ground for longer ;;;;;;;;;;;;;x
infantry_27;Infantry 27 ;;;;;;;;;;;;;x
infantry_27_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_28;Infantry 28 ;;;;;;;;;;;;;x
infantry_28_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_29;Infantry 29 ;;;;;;;;;;;;;x
infantry_29_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_30;Infantry 30 ;;;;;;;;;;;;;x
infantry_30_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_31;Infantry 31 ;;;;;;;;;;;;;x
infantry_31_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_32;Infantry 32 ;;;;;;;;;;;;;x
infantry_32_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_33;Infantry 33 ;;;;;;;;;;;;;x
infantry_33_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_34;Infantry 34 ;;;;;;;;;;;;;x
infantry_34_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_35;Infantry 35 ;;;;;;;;;;;;;x
infantry_35_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_36;Infantry 36 ;;;;;;;;;;;;;x
infantry_36_desc;Earlier on training meant march training and basic drill, but at this point full units trained interoperationability out in the field acting as if their brigade or division was at a state of war. This training vastly increased combat performance of units.;;;;;;;;;;;;;x
infantry_37;Infantry 37 ;;;;;;;;;;;;;x
infantry_37_desc;The old rules said that a officer breaking an order of a higher officer was to be brought to court martial. This made decision-making very indecisive. At this point regulations said that an officer was to carry on the core idea of the order of his superior officer, but how was at his own discretion. Our regular army now functions efficiently when engaged with the enemy in battle.;;;;;;;;;;;;;x
infantry_38;Infantry 38 ;;;;;;;;;;;;;x
infantry_38_desc;Muzzle loaded rifles were common during the American Civil War and also the Franco-Prussian War. They were the last true infantry weapons of the gunpowder age before technology shifted to more industrial weapons such as the devastating maxim gun of the 1880s or the repeater carbines produced by the Springfield and Winchester companies.;;;;;;;;;;;;;x
infantry_39;Infantry 39 ;;;;;;;;;;;;;x
infantry_39_desc;At this point seperate signal detachments were added  to divisions and up vastly increasing their communication.;;;;;;;;;;;;;x
infantry_40;Infantry 40 ;;;;;;;;;;;;;x
infantry_40_desc;At this point a tactical innovation and development of both weaponry and defensive points allowed the armies to build arching points of fire that flexibly could cover the terrain effectively.;;;;;;;;;;;;;x
infantry_41;Infantry 41 ;;;;;;;;;;;;;x
infantry_41_desc;By using a staff system even at low echelon units it enabled the leader to give orders continuously and accurate.;;;;;;;;;;;;;x
infantry_42;Infantry 42 ;;;;;;;;;;;;;x
infantry_42_desc;Breech loaded rifles have increased the firepower of the army. Our infantry now fights more effectively with this technological achievement. ;;;;;;;;;;;;;x
infantry_43;Infantry 43 ;;;;;;;;;;;;;x
infantry_43_desc;The wargames where staff training. It meant playing out a situation, a fictive war of conflict, and setting to staffs against eachother and training them in order writing, communications and planning. At some degree it also trained therit tactical and operational skill. The infantry now benefit from this advance. ;;;;;;;;;;;;;x
infantry_44;Infantry 44 ;;;;;;;;;;;;;x
infantry_44_desc;We have invented the maxim machine gun, now the most powerful infantry weapon of the modern age. Developed in the 1880s and improved over the course of the next 20 years the machine gun is the defining characteristic of the horrors of industrialized warfare. Infantry now benefit from this advance.;;;;;;;;;;;;;x
infantry_45;Infantry 45 ;;;;;;;;;;;;;x
infantry_45_desc;When literate NCOs started to flock to the ranks the average quality of the units and the training of the soldiers increased.;;;;;;;;;;;;;x
infantry_46;Infantry 46 ;;;;;;;;;;;;;x
infantry_46_desc;By exessively training the NCOs in the field and with the equipment these not only became pioneers for the men, but also highly competent trainers of the smaller units.;;;;;;;;;;;;;x
infantry_47;Infantry 47 ;;;;;;;;;;;;;x
infantry_47_desc;By exessively training the NCOs in the field and with tactical situations these not only became the leaders of the men, but also the initiative takers in combat.;;;;;;;;;;;;;x
infantry_48;Infantry 48 ;;;;;;;;;;;;;x
infantry_48_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_49;Infantry 49 ;;;;;;;;;;;;;x
infantry_49_desc;The introduction of working staffs at lower echelon units was a spin off from having an effective and functional General Staff. Soon all units had staffs that supported their leaders.;;;;;;;;;;;;;x
infantry_50;Infantry 50 ;;;;;;;;;;;;;x
infantry_50_desc;At this point fire power was vastly more powerful than movement and even the front stationed infantry units had to dig in to survive the superior fire power of enemy artillery. Soon lines of deep defensive lines filled sections of the front bringing stalemate to the front. These lines where given the name trenches.;;;;;;;;;;;;;x
infantry_51;Infantry 51 ;;;;;;;;;;;;;x
infantry_51_desc;By introducing gasmasks and a set of rules for how to wear the uniform when attacked by gas, and standard operation procedures for movement under gas attacks, the losses and and effects of gas was diminished.;;;;;;;;;;;;;x
infantry_52;Infantry 52 ;;;;;;;;;;;;;x
infantry_52_desc;We have improved the resolve of our infantry to hold their nerve while under fire. ;;;;;;;;;;;;;x
infantry_53;Infantry 53 ;;;;;;;;;;;;;x
infantry_53_desc;For those armies that focussed on firepower, another crucial decision revolved around how that firepower was to be utilized. One possibility was to craft intricate and detailed plans that integrated artillery strikes on specific targets timed to end just as the main assault was launched, while another possibility was simply to mass together as much artillery as possible and bombard the enemy until he gave way.;;;;;;;;;;;;;x
infantry_54;Infantry 54 ;;;;;;;;;;;;;x
infantry_54_desc;For those armies that focussed on mobility, it was important to decide how precisely the army was to be mobile. One option was to use standard infantry forces, and to overwhelm the enemy when contact was made, while another option was to focus on specialized spearhead units, often with a mechanized component, that were best suited for mobility and could quickly exploit weaknesses in the enemy line.;;;;;;;;;;;;;x
cavalry_1;Cavalry 1;;;;;;;;;;;;;x
cavalry_1_desc; ;;;;;;;;;;;;;x
cavalry_2;Cavalry 2 ;;;;;;;;;;;;;x
cavalry_2_desc; ;;;;;;;;;;;;;x
cavalry_3;Cavalry 3 ;;;;;;;;;;;;;x
cavalry_3_desc; ;;;;;;;;;;;;;x
cavalry_4;Cavalry 4  ;;;;;;;;;;;;;x
cavalry_4_desc; ;;;;;;;;;;;;;x
cavalry_5;Cavalry 5 ;;;;;;;;;;;;;x
cavalry_5_desc; ;;;;;;;;;;;;;x
cavalry_6;Cavalry 6 ;;;;;;;;;;;;;x
cavalry_6_desc; ;;;;;;;;;;;;;x
cavalry_7;Cavalry 7 ;;;;;;;;;;;;;x
cavalry_7_desc; ;;;;;;;;;;;;;x
cavalry_8;Cavalry 8 ;;;;;;;;;;;;;x
cavalry_8_desc; ;;;;;;;;;;;;;x
cavalry_9;Cavalry 9; ;;;;;;;;;;;;;x
cavalry_9_desc; ;;;;;;;;;;;;;x
cavalry_10;Cavalry 10 ;;;;;;;;;;;;;x
cavalry_10_desc; ;;;;;;;;;;;;;x
cavalry_11;Cavalry 11 ;;;;;;;;;;;;;x
cavalry_11_desc; ;;;;;;;;;;;;;x
cavalry_12;Cavalry 12 ;;;;;;;;;;;;;x
cavalry_12_desc; ;;;;;;;;;;;;;x
cavalry_13;Cavalry 13 ;;;;;;;;;;;;;x
cavalry_13_desc; ;;;;;;;;;;;;;x
cavalry_14;Cavalry 14 ;;;;;;;;;;;;;x
cavalry_14_desc; ;;;;;;;;;;;;;x
cavalry_15;Cavalry 15 ;;;;;;;;;;;;;x
cavalry_15_desc; ;;;;;;;;;;;;;x
cavalry_16;Cavalry 16 ;;;;;;;;;;;;;x
cavalry_16_desc; ;;;;;;;;;;;;;x
cavalry_17;Cavalry 17 ;;;;;;;;;;;;;x
cavalry_17_desc; ;;;;;;;;;;;;;x
cavalry_18;Cavalry 18 ;;;;;;;;;;;;;x
cavalry_18_desc; ;;;;;;;;;;;;;x
cavalry_19;Cavalry 19 ;;;;;;;;;;;;;x
cavalry_19_desc; ;;;;;;;;;;;;;x
cavalry_20;Cavalry 20 ;;;;;;;;;;;;;x
cavalry_20_desc; ;;;;;;;;;;;;;x
cavalry_21;Cavalry 21 ;;;;;;;;;;;;;x
cavalry_21_desc; ;;;;;;;;;;;;;x
cavalry_22;Cavalry 22 ;;;;;;;;;;;;;x
cavalry_22_desc; ;;;;;;;;;;;;;x
cavalry_23;Cavalry 23 ;;;;;;;;;;;;;x
cavalry_23_desc; ;;;;;;;;;;;;;x
cavalry_24;Cavalry 24 ;;;;;;;;;;;;;x
cavalry_24_desc; ;;;;;;;;;;;;;x
cavalry_25;Cavalry 25 ;;;;;;;;;;;;;x
cavalry_25_desc; ;;;;;;;;;;;;;x
cavalry_26;Cavalry 26 ;;;;;;;;;;;;;x
cavalry_26_desc; ;;;;;;;;;;;;;x
cavalry_27;Cavalry 27 ;;;;;;;;;;;;;x
cavalry_27_desc; ;;;;;;;;;;;;;x
cavalry_28;Cavalry 28 ;;;;;;;;;;;;;x
cavalry_28_desc; ;;;;;;;;;;;;;x
cavalry_29;Cavalry 29 ;;;;;;;;;;;;;x
cavalry_29_desc; ;;;;;;;;;;;;;x
cavalry_30;Cavalry 30 ;;;;;;;;;;;;;x
cavalry_30_desc; ;;;;;;;;;;;;;x
cavalry_31;Cavalry 31 ;;;;;;;;;;;;;x
cavalry_31_desc; ;;;;;;;;;;;;;x
cavalry_32;Cavalry 32 ;;;;;;;;;;;;;x
cavalry_32_desc; ;;;;;;;;;;;;;x
cavalry_33;Cavalry 33 ;;;;;;;;;;;;;x
cavalry_33_desc; ;;;;;;;;;;;;;x
cavalry_34;Cavalry 34 ;;;;;;;;;;;;;x
cavalry_34_desc; ;;;;;;;;;;;;;x
cavalry_35;Cavalry 35 ;;;;;;;;;;;;;x
cavalry_35_desc; ;;;;;;;;;;;;;x
cavalry_36;Cavalry 36 ;;;;;;;;;;;;;x
cavalry_36_desc; ;;;;;;;;;;;;;x
cavalry_37;Cavalry 37 ;;;;;;;;;;;;;x
cavalry_37_desc; ;;;;;;;;;;;;;x
cavalry_38;Cavalry 38 ;;;;;;;;;;;;;x
cavalry_38_desc; ;;;;;;;;;;;;;x
cavalry_39;Cavalry 39 ;;;;;;;;;;;;;x
cavalry_39_desc; ;;;;;;;;;;;;;x
cavalry_40;Cavalry 40 ;;;;;;;;;;;;;x
cavalry_40_desc; ;;;;;;;;;;;;;x
cavalry_41;Cavalry 41 ;;;;;;;;;;;;;x
cavalry_41_desc; ;;;;;;;;;;;;;x
cavalry_42;Cavalry 42 ;;;;;;;;;;;;;x
cavalry_42_desc; ;;;;;;;;;;;;;x
cavalry_43;Cavalry 43 ;;;;;;;;;;;;;x
cavalry_43_desc; ;;;;;;;;;;;;;x
cavalry_44;Cavalry 44 ;;;;;;;;;;;;;x
cavalry_44_desc; ;;;;;;;;;;;;;x
cavalry_45;Cavalry 45 ;;;;;;;;;;;;;x
cavalry_45_desc; ;;;;;;;;;;;;;x
cavalry_46;Cavalry 46 ;;;;;;;;;;;;;x
cavalry_46_desc; ;;;;;;;;;;;;;x
