;;;;x
1604_london_treaty_desc;After the death of Queen Elizabeth in 1603, her successor James I, quickly sought to end the long and draining conflict. James was an idealistic practitioner of Christian peace and unity, and also the son and successor to Mary, Queen of Scots, whose execution had been a proximate cause of the conflict. Philip III of Spain, who also had inherited the war from his predecessor, Philip II, and whose treasuries had also been drained, warmly welcomed the offer and ordered the commencement of the difficult negotiations that followed.;x;;
tea_act_mod_thc;Tea Act;x;;
tea_act_mod_thc_desc;Tea Act;x;;
holy_roman_emperor;Holy Roman Emperor;x;;
holy_roman_emperor_desc;You are the Holy Roman Emperor.;x;;
hre_member;Member-State of the Holy Roman Empire;x;;
hre_member_desc;We are part of the Holy Roman Empire.;x;;
louisiana_purchasepart1_title;Offer to Sell Louisiana;x;;
louisiana_purchasepart1_desc;We are in need of money and our lands in North America are both vulnerable and largely worthless. We could offer the Americans to buy them from us which would help our more immediate needs in Europe.;x;;
louisiana_purchasepart2_title;The Louisiana Purchase;x;;
louisiana_purchasepart2_desc;France has offered to sell Louisiana to us. While the worth of the land is doubtful it is a sizeable territoy and would more than double the size of this nation.;x;;
EVTNAME401002;The Holy Roman Empire;x;;
EVTDESC401002;The Holy Roman Empire is a largely decentralised organisation made up of many states dating back to the coronation of Charlemagne on Christmas day of the year 800. The emperor is chosen from amongst other rulers by his fellow prince electors. Our advisors are wisely reminding us that we are part of it.;x;;
leave_hre_title;Leave the Holy Roman Empire;x;;
leave_hre_desc;We may leave the Holy Roman Empire if we so desire. By doing so however we would renounce the protection of the emperor.;x;;
dismantle_hre_title;Dismantle the Holy Roman Empire;x;;
dismantle_hre_desc;We are at war with the Holy Roman Emperor, if we can besiege his palace in his capital city we could force him to dissolve the empire.;x;;
EVTNAME401003;The Bishops' War;x;;
EVTDESC401003;The Scots have become wary of the increasing Anglican influence North of the border and are now in open rebellion. We risk losing control over Scotland if we do not act.;x;;
english_parliarebels_title;English Parliamentarians;x;;
english_parliarebels_name;English Parliamentarians;x;;
english_parliarebels_desc;These rebels want to assert the power of the English parliament over the King.;x;;
english_parliarebels_army;English Parliamentarians;x;;
act_of_union_title;The Act of Union;x;;
act_of_union_desc;This act would finalise the joining England ans Scotland together and form a new United Kingdom of Great Britain;x;;
restore_charlesII_title;Restore Charles II;x;;
restone_charlesII_desc;The Cromwells will lead us all to ruin. Let's restore the son of our murdered King, Charles II, to the English throne!;x;;
invite_williamIII_title;Invite William III;x;;
invite_williamIII_desc;King James II is becoming more and more of a problem. In order to avoid further troubles with the parliament we may have to choose another monarch. William III of Oranje, a pretender to the English throne, has a proper protestant background and promises to reconcile all factions in England. We could invite him to take the crown and become King of our country.;x;;
form_hre_title;Unite the Empire;x;;
form_hre_desc;With all the German states under our control we are in a position to transform the Holy Roman Empire into a centralised nation.;x;;
ulster_plantation_title;The Plantation of Ulster;x;;
ulster_plantation_desc;England has used plantations in Ireland before but with little success. This time, we shall gradually confiscate Irish lands and give them to proper Protestant Englishmen in an effort to pacify and assimilate the country.;x;;
ulster_plantation_mod;Ulster Plantation;x;;
ulster_plantation_mod_desc;England is actively seeking to replace the Irish Catholic population in Ulster with Protestants from Great Britain.;x;;
EVTDESC401011;The natives in $PROVINCENAME$ are dying in great numbers due to a terrible disease. The fact that they insist they have never endured such a calamity before our arrival seems to suggest we may have brought it with us from Europe. We are powerless to stop it, but attempts to alleviate their sufferings may help soothe the tensions between them and our colonists.;x;;
early_plague_mod;Plague;x;;
early_plague_mod_desc;A plague is ravaging our lands!;x;;
english_cw_mod;Unruly Parliament;x;;
english_cw_mod_desc;Our Parliament is growing increasingly contemptuous and distrustful of our King's absolute regime.;x;;
EVTDESC401013;Cowardly natives have attacked our colony in $PROVINCENAME$ and killed many of our subjects, sparing neither women nor children. Some men from the neighbouring colonies and abled survivors have banded together and are ready to pursue the raiders into their territory should we choose to retaliate.;x;;
EVTDESC400005;Multiple disputes over the ownership of frontier territories between $COUNTRY_ADJ$ colonies and those of a foreign power have resulted in an increasingly tense climate. We would surely be justified should we choose to take action against these foreign colonists, although some in our court suggest we should ease the tensions by finding a compromise so as to avoid an armed conflict.;x;;
piratesmod;Pirates;x;;
catholic_rebels_title;Catholic Rebels;x;;
catholic_rebels_name;Catholic Rebels;x;;
catholic_rebels_desc;Catholic rebels are Catholics who, feeling oppressed by the Protestant majority, have risen up to protect their religion.;x;;
catholic_rebels_army;$COUNTRY_ADJ$ Catholic Rebels;x;;
protestant_rebels_title;Protestant Rebels;x;;
protestant_rebels_name;Protestant Rebels;x;;
protestant_rebels_desc;Protestant rebels are Protestants who, feeling oppressed by the Catholic majority, have risen up to protect their religion.;x;;
protestant_rebels_army;$COUNTRY_ADJ$ Protestant Rebels;x;;
EVTDESC401015;Differences between Catholics and Protestants have erupted today in $PROVINCENAME$ resulting in a number of deaths and a tense stalemate between the two sides. Protestants, who are the minority, vow to continue fighting as long as their demands are not met.;x;;
EVTDESC401014;Differences between Catholics and Protestants have erupted today in $PROVINCENAME$ resulting in a number of deaths and a tense stalemate between the two sides. Catholics, who are the minority, vow to continue fighting as long as their demands are not met.;x;;
slave_rebels_name;Slave Rebels;x;;
slave_rebels_desc;Rebellious slaves seek freedom from slavery for themselves and their kind. They have had enough of servitude and will fight to the death to achieve their goal.;x;;
slave_rebels_army;Slave Rebels;x;;
religiousnutsmod;Religious Rebellion;x;;
religiousnutsmod_desc;A religious minority has enforced its demands upon our nation.;x;;
brandenburg_prussia_title;Prussia;x;;
brandenburg_prussia_desc;Being in posession of the old German territories occupied by Poland-Lithuania we can now unite the country as one;x;;
brandenburg_prussia2_title;Brandenburg-Prussia Personal Union;x;;
brandenburg_prussia2_desc;Prussia has been released from Poland-Lithuania and now is our chance to unite our country's crown.;x;;
brandenburg_prussia3_title;The Teutonic Heritage;x;;
brandenburg_prussia3_desc;The personal union between Brandenburg and Prussia has been everlasting. This is the moment to strengthen our relationship and unite.;x;;
code_civil_title;Le Code Civil;x;;
code_civil_desc;The French civil code was established under NapolÅEEon I in 1804. The code forbade privileges based on birth, allowed freedom of religion, and specified that government jobs should go to the most qualified.;x;;
the_emperor_title;Coronation of Napoleon I;x;;
the_emperor_desc;The coronation of Napoleon as Emperor of the French was the instantiation of a modern empire, approved by the french people.;x;;
SIC_neutrality_title;Joins the Third Coalition;x;;
SIC_neutrality_desc;The french threaten the monarchic order. We must join the 3rd coalition to stop them.;x;;
event_option_alright;Alright.;x;;
event_option_great;Great!;x;;
event_option_no;No.;x;;
event_option_blast;Blast!;x;;
ev_20000000;Kepler's Supernova;x;;
desc_ev_20000000;Supernova 1604, also known as Kepler's Supernova, Kepler's Nova or Kepler's Star, was a supernova that occurred in the Milky Way, in the constellation Ophiuchus. Appearing in 1604, it is the most recent supernova to have been unquestionably observed by the naked eye in our own galaxy, occurring no farther than 6 kiloparsecs or about 20,000 light-years from Earth.;x;;
ev_20000001;Shakespeare's First Performance;x;;
desc_ev_20000001;"Shakespeare was an English poet, playwright and actor, widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist. He is often called England's national poet and the ""Bard of Avon"". His extant works, including some collaborations, consist of about 38 plays, 154 sonnets, two long narrative poems, and a few other verses, the authorship of some of which is uncertain. His plays have been translated into every major living language and are performed more often than those of any other playwright.";x;;
ev_20000002;Table Alphabeticall Published;x;;
desc_ev_20000002;A Table Alphabeticall is the abbreviated title of the first monolingual dictionary in English, created by Robert Cawdrey and first published in London in 1604.;x;;
ev_20000003;Dun Quixote Published;x;;
desc_ev_20000003;Dun Quixote is a Spanish novel by Miguel de Cervantes Saavedra. It follows the adventures of Alonso Quixano, an hidalgo who reads so many chivalric novels that he decides to set out to revive chivalry, under the name Don Quixote. He recruits a simple farmer, Sancho Panza, as his squire, who often employs a unique, earthly wit in dealing with Don Quixote's rhetorical orations on antiquated knighthood. Don Quixote is met by the world as it is, initiating such themes as intertextuality, realism, metatheatre, and literary representation.;x;;
ev_20000004;We Are Ruled by England!;x;;
desc_ev_20000004;Due to their upper hand in strength and their power projection to us we have no other possibility, but to bow before our English overlords;x;;
ev_20000005;Ireland Belongs to Us!;x;;
desc_ev_20000005;The leaders of Ireland have finally bowed before us, becoming our legitimate vassals.;x;;
ev_20000006;Year of Three Popes;x;;
desc_ev_20000006;The Year of Three Popes is a common reference to a year when the College of Cardinals of the Catholic Church are required to elect two new popes within the same calendar year. Such a year generally occurs when a newly elected pope dies or resigns very early into his papacy. This results in the Catholic Church being led by three different popes during the same calendar year.;x;;
ev_20000007;Catholics Expelled!;x;;
desc_ev_20000007;Due to our new overlords we have to expel every catholic citizen of our country. They left the isles for France in hope of finding a place that accepts them.;x;;
ev_20000008;The First Newspaper!;x;;
desc_ev_20000008;The first german language newspaper has been printed the first time and from this year onwards by Johann Carolus in Strasbourg, is often recognized as the first newspaper.;x;;
ev_20000009;Gunpowder Plot;x;;
desc_ev_20000009;The Gunpowder Plot of 1605, in earlier centuries often called the Gunpowder Treason Plot or the Jesuit Treason, was a failed assassination attempt against King James I of England and VI of Scotland by a group of provincial English Catholics led by Robert Catesby. The plan was to blow up the House of Lords during the State Opening of England's Parliament on 5 November 1605. The plot was revealed to the authorities in an anonymous letter sent to William Parker, 4th Baron Monteagle, on 26 October 1605. During a search of the House of Lords at about midnight on 4 November 1605, Fawkes was discovered guarding 36 barrels of gunpowder?enough to reduce the House of Lords to rubble?and arrested. Most of the conspirators fled from London as they learned of the plot's discovery, trying to enlist support along the way.;x;;
ev_20000010;Irish College Established;x;;
desc_ev_20000010;The Irish College in Paris was for three centuries a major Roman Catholic educational establishment, for Irish students. It is now an Irish cultural centre, the Centre Culturel Irlandais;x;;
ev_20000011;Willem Janszoon Discovers Australia;x;;
desc_ev_20000011;Willem Janszoon, Dutch navigator and colonial governor, is the first European known to have seen the coast of Australia. On 26 February 1606, he made landfall at the Pennefather River on the western shore of Cape York in Queensland, near the modern town of Weipa. This is the first recorded European landfall on the Australian continent.;x;;
ev_20000013;Union Jack!;x;;
desc_ev_20000013;"James VI of Scotland had inherited the English and Irish thrones in 1603 as James I, thereby uniting the crowns of England, Scotland, and Ireland in a personal union, although the three kingdoms remained separate states. On 12 April 1606, a new flag to represent this regal union between England and Scotland was specified in a royal decree, according to which the flag of England (a red cross on a white background, known as St George's Cross), and the flag of Scotland (a white saltire on a blue background, known as the Saltire or St Andrew's Cross), would be joined together, forming the flag of England and Scotland for maritime purposes. King James also began to refer to a ""Kingdom of Great Britaine"", although the Union remained a personal one.";x;;
ev_20000014;Evangelic Lyceum Founded in Bratislava;x;;
desc_ev_20000014;Evangelic Lutheran Lyceum in Bratislava, Slovakia, was founded in 1606 by David Kilger as a Lutheran high school. Until 1656 was Evangelical Lyceum a school with eight classes, two of them elementary school. Among its students, from 1829 to 1836, was the young ?udov?t ?t?r, who became a member of Czech-Slav Society at the school, an important influence on his life as a Slovak nationalist.;x;;
ev_20000015;San Augstin Church Finished in Manila!;x;;
desc_ev_20000015;San Agustin Church was the first religious structure constructed by the Spaniards on the island of Luzon. Made of bamboo and nipa, it was completed in 1571, but destroyed by fire in December, 1574 during the attempted invasion of Manila by the forces of Limahong.;x;;
ev_20000016;Monteverdi's L'Orfeo Debuts;x;;
desc_ev_20000016;L'Orfeo, sometimes called L'Orfeo, favola in musica, is a late Renaissance/early Baroque opera by Claudio Monteverdi, with a libretto by Alessandro Striggio. It is based on the Greek legend of Orpheus, and tells the story of his descent to Hades and his fruitless attempt to bring his dead bride Eurydice back to the living world. It was written in 1607 for a court performance during the annual Carnival at Mantua.;x;;
ev_20000017;First Jesuit Mission in Mexico;x;;
desc_ev_20000017;The Society of Jesus is a Christian male religious congregation of the Catholic Church. The members are called Jesuits. The society is engaged in evangelization and apostolic ministry in 112 nations on six continents. Jesuits work in education (founding schools, colleges, universities and seminaries), intellectual research, and cultural pursuits. Jesuits also give retreats, minister in hospitals and parishes and promote social justice and ecumenical dialogue.;x;;
ev_20000019;First Telescope!;x;;
desc_ev_20000019;"The practical exploitation of the instrument was certainly achieved and came to public attention in the Netherlands at about 1608, but the credit of the original invention has been claimed on behalf of three individuals: Hans Lippershey and Sacharias Jansen?spectacle-makers in Middelburg, and Jacob Metius of Alkmaar (also known as Jacob Adriaanszoon). Hans Lippershey was credited with creating and disseminating designs for the first practical telescope?later applying to the States General of the Netherlands on October 2, 1608, for a patent for an instrument ""for seeing things far away as if they were nearby,"" (beating Jacob Metius's patent by a few weeks). Lippershey failed to receive a patent since the same claim for invention had been made by other spectacle-makers. Lippershey was handsomely rewarded by the Dutch government for copies of his design. Sacharias Jansen's design for a telescope may have pre-dated Lippershey and Metius, but the invention was never widely publicized.";x;;
ev_20000020;Old Bushmills Distillery Founded;x;;
desc_ev_20000020;A new distillery of whiskey has been founded in Ireland, of course all of the whiskey bottled under the Bushmills whiskey brand is produced at the Bushmills Distillery. A licence to distill in the area was granted to Sir Thomas Phillipps in 1608 by King James I, and the 1608 date is printed on the labels of the Bushmills brand whiskey. It uses water drawn from Saint Columb's Rill which is a tributary of the River Bush. The Bushmills Distillery claims to be?and is almost unanimously considered to be?the oldest licensed distillery in the world.;x;;
ev_20000021;Basque Witch Trials;x;;
desc_ev_20000021;The Basque witch trials of the 17th century represent the most ambitious attempt at rooting out witchcraft ever undertaken by the Spanish Inquisition. The trial of the Basque witches at Logro?o, near Navarre, in northern Spain, which began in January 1609, against the background of similar persecutions conducted in Labourd by Pierre de Lancre, was almost certainly the biggest single event of its kind in history.;x;;
ev_20000022;Bank of Amsterdam Founded;x;;
desc_ev_20000022;The Bank of Amsterdam was an early bank, vouched for by the city of Amsterdam, established in 1609, the precursor to, if not the first, modern central bank.;x;;
ev_20000023;Freedom of Religion in Bohemia;x;;
desc_ev_20000023;Freedom of religion or Freedom of belief is a principle that supports the freedom of an individual or community, in public or private, to manifest religion or belief in teaching, practice, worship, and observance. In 1609 Emperor Rudolf II granted Bohemia greater religious liberty with his Letter of Majesty.;x;;
ev_20000024;New Capital City!;x;;
desc_ev_20000024;Due to its central location between the Commonwealth's capitals of Krak?w and Vilnius, Warsaw became the capital of the Commonwealth and the Crown of the Kingdom of Poland. In the following years the town expanded towards the suburbs. Several private independent districts were established, the property of aristocrats and the gentry, which were ruled by their own laws.;x;;
ev_20000025;Kepler's First Two Laws;x;;
desc_ev_20000025;Johannes Kepler published his first two laws about planetary motion in 1609, having found them by analyzing the astronomical observations of Tycho Brahe. The first one was that, the orbit of every planet is an ellipse with the Sun at one of the two foci. The second one was that a line joining a planet and the Sun sweeps out equal areas during equal intervals of time.;x;;
ev_20000026;Colegio de Nuestra Senora del Santisimo Rosario Established;x;;
desc_ev_20000026;The University of Santo Tomas is one of the oldest existing universities and holds the oldest extant university charter in the Philippines and in Asia. It was originally conceived as a school to prepare young men for the priesthood. Located within Intramuros, the Walled City, it was first called Colegio de Nuestra Se?ora del Sant?simo Rosario and later renamed Colegio de Santo Tom?s in memory of Dominican theologian Saint Thomas Aquinas.;x;;
ev_20000027;Nagoya Castle Complete;x;;
desc_ev_20000027;Nagoya Castle is a Japanese castle located in Nagoya, central Japan. During the Edo period, Nagoya Castle was the center of one of the most important castle towns in Japan?Nagoya-juku? and it included the most important stops along the Minoji, which linked the T?okaido with the Nakasendo.;x;;
ev_20000028;Globe Theatre Burns Down!;x;;
desc_ev_20000028;The Globe Theatre was a theatre in London associated with William Shakespeare. It was built in 1599 by Shakespeare's playing company, the Lord Chamberlain's Men, on land owned by Thomas Brend and inherited by his son, Nicholas Brend and grandson Sir Matthew Brend, and was destroyed by fire on 29 June 1613.;x;;
ev_20000029;University of Groningen Founded;x;;
desc_ev_20000029;The University of Groningen, located in the city of Groningen, was founded in 1614. It is one of the oldest universities in the Netherlands as well as one of its largest. Since its inception more than 200,000 students have graduated. It is a member of the distinguished international Coimbra Group of European universities.;x;;
ev_20000030;Christianity Banned in Japan;x;;
desc_ev_20000030;Every outsider and Japanese citizen must leave or convert into the true faith of shintoism inside our borders or face dire consequences.;x;;
ev_20000031;Wignacourt Aquaduct Finished in Malta;x;;
desc_ev_20000031;The Wignacourt Aqueduct in Malta is a very old building, running through Balzan, Birkirkara, Fleur-de-Lys and Santa Venera. This was built by the Order of Saint John from 1610 to carry water from Dingli and Rabat to Valletta. The Aqueduct was inaugurated on 21 April 1615 and it remained in use until the 20th century. It is named after Alof de Wignacourt, the Grandmaster who financed its building.;x;;
ev_20000032;David Gareja Monastery Looted;x;;
desc_ev_20000032;With the downfall of the Georgian monarchy, the monastery suffered a lengthy period of decline and devastation by the Mongol army (1265), but was later restored by the Georgian kings. It survived the Safavid attack of 1615, when the monks were massacred and the monastery's unique manuscripts and important works of Georgian art destroyed, to be resurrected under Onopre Machutadze, who was appointed Father Superior of David Gareja in 1690.;x;;
ev_20000033;Mayon Volcano Erupts!;x;;
desc_ev_20000033;The volcano of Mayon that recently became active again has finally erupted, leading to the death of many of our people, even though we did everything what we could to protect them.;x;;
ev_20000034;Guido Reni's Pieta;x;;
desc_ev_20000034;Guido Reni was an Italian painter of high-Baroque style. His Pieta is a well-recognized work of art both between and outside of our borders.;x;;
ev_20000035;The Last Jin;x;;
desc_ev_20000035;The Jianzhou region was consolidated by Nurhaci, who proclaimed himself Great Jin, in reference to the previous Jurchen dynasty.;x;;
ev_20000036;Collegium Musicum in Prague;x;;
desc_ev_20000036;The Collegium Musicum, an institute created solely for the developement of music and teaching musicians has been established in Prague.;x;;
ev_20000039;Faculty of Medicine and Surgery Established;x;;
desc_ev_20000039;The well-known University of Sassari has been expanded with a new faculty that allows the future generations of high education to learn the ways of medication and surgery to help our people through times of hardship.;x;;
ev_20000040;First Female Actress;x;;
desc_ev_20000040;Marie Vernier, or Venier was a French actress. She is commonly thought to be the first actress to be known by name. Vernier was the leading lady and co-director of Valleran-Lecomte's theatre company, which performed in Hotel de Bourgogne in Paris and toured the country and the Spanish Netherlands.;x;;
ev_20000041;The Blue Mosque is Complete!;x;;
desc_ev_20000041;Sultan Ahmet the First decided to build a big mosque in Istanbul to calm God. It would be the first imperial mosque for more than forty years. While his predecessors had paid for their mosques with their spoil of war, Ahmet the First had to remove the funds of the Treasury, because he had not gained remarkable victories. It caused the anger of oul?mas, the Muslim jurists. The mosque must be built on the site of the palace of the Byzantine emperors, in front of the basilica Ayasofya (at that time, the mosque the most worshipped in Istanbul) and the racecourse, a site of a big symbolic meaning. Big parts of the south shore of the mosque rest on the foundations, the vaults of the old Grand Palace.;x;;
ev_20000042;Inherit Prussia!;x;;
desc_ev_20000042;As in 1618, Albert Frederick had no surviving male heirs, the co-enfeoffment of 1569, confirmed by the Treaty of Warsaw in 1611, allowed his son-in-law, Elector John Sigismund of the Hohenzollern branch in Brandenburg, to become the duke's legal successor, thereafter ruling Brandenburg and Ducal Prussia in personal union. Brandenburg, being a fief of the Holy Roman Empire, and Ducal Prussia, being a Polish fief, made a cross-border real union legally impossible. De facto Brandenburg and Ducal Prussia were more and more ruled as one, and colloquially referred to as Brandenburg-Prussia.;x;;
ev_20000043;First Merry-Go-Round!;x;;
desc_ev_20000043;"The modern carousel emerged from early jousting traditions in Europe and the Middle East. Knights would gallop in a circle while tossing balls from one to another; an activity that required great skill and horsemanship. This game was introduced to Europe at the time of the Crusades from earlier Byzantine and Arab traditions. The word carousel originated from the Italian garosello and Spanish carosella (""little battle"", used by crusaders to describe a combat preparation exercise and game played by Turkish and Arabian horsemen in the 12th century). This early device was essentially a cavalry training mechanism; it prepared and strengthened the riders for actual combat as they wielded their swords at the mock enemies.";x;;
ev_20000044;River Thames Froze!;x;;
desc_ev_20000044;This year's severe winter led to something that did not happen for many decades, the river Thames froze. Our people were cautious at first, but now they celebrate upon the frozen water of our main river.;x;;
ev_20000045;Osaka Castle Restored;x;;
desc_ev_20000045;During the summer of 1615, Hideyori began to dig the outer moat once more. Tokugawa, in outrage, sent his armies to Osaka Castle again, and routed the Toyotomi men inside the outer walls on June 4. Osaka Castle fell to Tokugawa, and the Toyotomi clan perished. In 1620, the new heir to the shogunate, Tokugawa Hidetada, began to reconstruct and re-arm Osaka Castle. He built a new elevated main tower, five stories on the outside and eight stories on the inside, and assigned the task of constructing new walls to individual samurai clans. The walls built in the 1620s still stand today, and are made out of interlocked granite boulders without mortar. Many of the stones were brought from rock quarries near the Seto Inland Sea, and bear inscribed crests of the various families who contributed them.;x;;
ev_20000046;Rudbeckianska Gymnasiet Founded;x;;
desc_ev_20000046;The first secondary school of Sweden was founded this year, showing the fact the Sweden is on its way becoming a country of higher level education.;x;;
ev_20000047;Recapture of Baghdad;x;;
desc_ev_20000047;We lost the city of Baghdad to the Ottomans, yet it is de jure our land and we will do anything to retake it. To war!;x;;
ev_20000048;New Netherlands Colonized!;x;;
desc_ev_20000048;New Netherland was a 17th-century colonial province of the Seven United Netherlands that was located on the East Coast of North America. The claimed territories extended from the Delmarva Peninsula to extreme southwestern Cape Cod, while the more limited settled areas are now part of the Mid-Atlantic States of New York, New Jersey, Delaware, and Connecticut, with small outposts in Pennsylvania and Rhode Island. The provincial capital of New Amsterdam was located at the southern tip of the island of Manhattan on New York Harbor.;x;;
ev_20000049;First Mail Service Begins Duty;x;;
desc_ev_20000049;The first public postal system began duty this year, allowing people to connect to the rest of the advanced Europe through letters.;x;;
ev_20000050;Naples Earthquake;x;;
desc_ev_20000050;This morning an earthquake shook the city of Naples killing a great part of the population. We can only hope that this does not lead to any volcanic activity.;x;;
ev_20000051;Wurzburg Witch Trials;x;;
desc_ev_20000051;The Wurzburg witch trial, which took place in Germany in 1626?1631, is one of the biggest mass-trials and mass-executions in the 17th century.;x;;
ev_20000052;Aurochs Go Extinct;x;;
desc_ev_20000052;The aurochs, the ancestor of domestic cattle, is an extinct type of large wild cattle that inhabited Europe, Asia and North Africa. The species survived in Europe until the last recorded aurochs died in the Jaktor?w Forest.;x;;
ev_20000053;Barbados Settled;x;;
desc_ev_20000053;The Caribbean island of Barbados, a strategically important island has been settled for the first time after its colonization, gaining us more land in the New World.;x;;
ev_20000054;Barbados Settled;x;;
desc_ev_20000054;The Caribbean island of Barbados, a strategically important island has been settled for the first time after its colonization, gaining us more land in the New World.;x;;
ev_20000055;Vasa Sinks!;x;;
desc_ev_20000055;Vasa is a Swedish warship built 1626-1628. The ship foundered and sank after sailing about 1,300 m into her maiden voyage on 10 August 1628. She fell into obscurity after most of her valuable bronze cannons were salvaged in the 17th century.;x;;
ev_20000056;Popped Corn?;x;;
desc_ev_20000056;"The English settlers colonizing the Americas met a Native American tribe who introduced them with a food strange to them, what in our language would be called ""popped corn"", it is nothing more, but corn, the new vegetable came from the New World put into fire. It may become popular once.";x;;
ev_20000057;Popped Corn?;x;;
desc_ev_20000057;"The English settlers colonizing the Americas met a Native American tribe who introduced them with a food strange to them, what in our language would be called ""popped corn"", it is nothing more, but corn, the new vegetable came from the New World put into fire. It may become popular once.";x;;
ev_20000058;Deccan Famine!;x;;
desc_ev_20000058;With the bad crops of the recent years and the drought of this year our people are suffering, trying to survive from day to day with what little food they have. News of cannibalism has reached the palace, and even the leading nobles of our country fear what's coming next.;x;;
ev_20000059;La Gazette Published;x;;
desc_ev_20000059;La Gazette, originally Gazette de France, was the first weekly magazine published in France. It was founded by Th?ophraste Renaudot and issued its first number on May 30, 1631. It progressively became the mouthpiece of one royalist faction, the Legitimists.;x;;
ev_20000060;Taj Mahal Construction Started;x;;
desc_ev_20000060;In 1631, Shah Jahan, emperor during the Mughal empire's period of greatest prosperity, was grief-stricken when his third wife, Mumtaz Mahal, a Persian princess, died during the birth of their 14th child, Gauhara Begum. Construction of the Taj Mahal began in 1632. The court chronicles of Shah Jahan's grief illustrate the love story traditionally held as an inspiration for Taj Mahal.;x;;
ev_20000061;University of Tartu Founded;x;;
desc_ev_20000061;"The University of Tartu is a classical university in the city of Tartu, Estonia. University of Tartu is the national university of Estonia; it is the biggest and highest-ranked university in Estonia. The University of Tartu is a member of the Coimbra Group and the Utrecht Network, and was established by King Gustavus Adolphus of Sweden in 1632, thus being one of the oldest universities in Northern Europe.";x;;
ev_20000062;Sakoku Started;x;;
desc_ev_20000062;Sakoku was the foreign relations policy of Japan under which no foreigner could enter nor could any Japanese leave the country on penalty of death. The policy was enacted by the Tokugawa shogunate under Tokugawa Iemitsu through a number of edicts and policies from 1633?39.;x;;
ev_20000063;Galilei Convicted of Heresy;x;;
desc_ev_20000063;"Galilei met with opposition from astronomers, who doubted heliocentrism due to the absence of an observed stellar parallax. The matter was investigated by the Roman Inquisition in 1615, which concluded that heliocentrism was false and contrary to scripture, placing works advocating the Copernican system on the index of banned books and forbidding Galileo from advocating heliocentrism. Galileo later defended his views in Dialogue Concerning the Two Chief World Systems, which appeared to attack Pope Urban VIII, thus alienating not only the Pope but also the Jesuits, who had both supported Galileo up until this point. He was tried by the Holy Office, then found ""vehemently suspect of heresy"", was forced to recant, and spent the rest of his life under house arrest.";x;;
ev_20000064;St Culomb's Cathedral Finished;x;;
desc_ev_20000064;St Columb's is the first cathedral to be built by the Anglican church after the Reformation in the British Isles and the first non-roman catholic cathedral to be built in Europe.;x;;
ev_20000065;Trois Riviere Colonized;x;;
desc_ev_20000065;n 1603, while surveying the Saint-Lawrence River, Samuel de Champlain recommended establishing a permanent settlement in the area, which was finally done on July 4, 1634, by the Sieur of Laviolette.;x;;
ev_20000066;Academie Francaise Founded;x;;
desc_ev_20000066;L'Academie francaise, also called the French Academy, is the pre-eminent French learned body on matters pertaining to the French language. The Acad?mie was officially established in 1635 by Cardinal Richelieu, the chief minister to King Louis XIII.;x;;
ev_20000067;Paulaner Brewery Founded;x;;
desc_ev_20000067;The name of the Paulaner brewery refers to the order of friars that resided in Neuhauser Stra?e in Munich who were part of the order of Saint Francis of Paola. The friars had brewed beer for their own use since 1634. The beer that was permitted to be sold on holidays was a Bock style which gained local fame. Paulaner is one of the six breweries who provide oktoberfestbier for Oktoberfest, the German beer festival dating from 1810.;x;;
