LACK_OF_MAINTENANCE_GOODS;Нехватка припасов;;Ungenьgend Wartungsgьter;;;;;;;;x;;;
BP_TOOL_ARROW_THICK_DASHED;Толстая пунктирная стрелка;;Dicker gestrichelter Pfeil;;;;;;;;x;;;
BP_TOOL_ARROW_SLIM_DASHED;Тонкая пунктирная стрелка;;Dьnner gestrichelter Pfeil;;;;;;;;x;;;
BP_OPEN_TOOLTIP;Открыть/Закрыть редактор военных планов.;;Цffnen/SchlieЯen des Schlachtplaners.;;;;;;;;;;x;
BP_TOGGLE_TOOLTIP;Показать/Скрыть активные военные планы.;;Anzeigen/Verbergen des aktuellen Schlachtplanes.;;;;;;;;;;x;
EVTOPTC23212;Колонизированная комета станет прекрасным спутником!;;Ein kolonisierter Komet wьrde einen vorzьglichen Satellietenstaat abgeben!;;;;;;;;x;;;
liberate_liberia_title;Освободить Либерию;;Befreie Liberia;;;;;;;;;;x;
liberate_liberia_desc;Свободное, суверенное и независимое государство, называемое Республикой Либерия.;;;;;;;;;;;;;
"было провозглашено Джозефом Дженкинсом Робертсом. Оно управляется из соседнего Сьерра-Леоне и рассматривается Содружеством и его родительской организацией Американским Колонизационнвм Сообществом(АКО) как ""частная собственность"", которая не может стать суверенной страной. Тем не менее, процесс оформления независимости продолжается. Хотя суверенитет Либерии был подтвержден Правительством Соединенных Штатов, официальное признание новая республика получила только во время Гражданской войны.";;"Ein ""freier, souverдner und unabhдngiger Staat mit dem Namen und den Stil der Republik Liberia."" wurde von Gouverneur Joseph Jenkins Roberts erklдrt. Insbesondere GroЯbritannien, welches aus dem benachbarten Sierra Leone heraus operiert, betrachtet das Commonwealth und die Vaterorganisation American Colonization Society (ACS), als ""Privatpersonen"" nicht berechtigt, Souverдnitдt ausьben. Daher hielt man es fьr notwendig die Formalisierung zur Unabhдngigkeit weiterzufьhren. Obwohl durch die US-Regierung gebilligt, kam die diplomatische Anerkennung vom Kongress der neuen Republik nicht vor dem Bьrgerkrieg.";;;;;;;;;;x;;
liberian_constitution_title;Конституция Либерии;;Konstitution fьr Liberia;;;;;;;;;;x;
liberian_constitution_desc;Страна, которая несколько лет назад была всего лишь колонией, выросла в размерах и стала достаточно сильной, чтобы стать свободным, суверенным и независимым государством. Проект новой Конституции готов быть представленным на референдуме. Она гарантирует базовые гражданские права и разделение власти, похожие на аналогичные в США, но отделяющие новую страну от правительства Америки.;;Was vor einigen Jahren nichts anderes als eine Kolonie war, hat genug an GrцЯe und Stдrke gewonnen um nach einen freien, souverдnen und unabhдnigen Staat anzusterben. Einen Entwurf fьr die neue Verfassung ist bereit fьr das Referendum. Es garantiert grundlegende Bьrgerrechte und etabliert die Gewaltenteilung дhnlich der Verfassung der USA, wдhrend der neu ausgerufene Staat sich von den Vereinigen Staaten abtrennt.;;;;;;;;;;x;
liberian_research_boost;Бонус к исследованиям Либерии;;Liberischer Forschungs Boost;;;;;;;;;;x;
desc_liberian_research_boost;Мы наслаждаемся всеми плюсами независимости, а наш научный прогресс ускорился на пути к Современности.;;Wir genieЯen die Vorzьge unserer Unabhдnigkeit, wдhrend unsere neue Nation schnller in Richtung Moderne unterwegs ist.;;;;;;;;;;;x
form_scandinavia_NEWS_LONG;"Земли Севера объединились, чтобы создать новую нацию — Скандинавия. Толпа преимущественно светловолосых мужчин и женщин заполонила главную площадь Стокгольма в 5 часов ночи и кричала об утверждении нового государственного порядка. Аплодисменты и кивания в знак согласия были обыкновенны в этот день и с приближением вечера все учащались. Город опустел в 9 часов утра по приказу властей. Полиция сообщает, что человек, прокричавший ""Слава Скандинавии!"" вне дома, был отпущен без всякого наказания.";;"Die Lдnder des Nordens sind zusammengekommen um die Nation Skandinavien zu bilden. Eine zurьckhaltende Menge ьberwiegend blonder Mдnner und Frauen fьllen den Hauptplatz in Stockholm pьnktlich am Mittwoch um Punkt 17:00 und stimmten den politischen Verдnderungen zu. Hдndeschьtteln, respektvolles Klatschen und nickende Genehmigung waren die Order an dem Tag als zum Abend die Stadt sich leerte, wie von den Behцrden gefordert. Die Polizei berichtet das ein Mann ohne Anklage freigelassen wurde nachdem dieser ""Hurray fьr Scandinavien"" ausserhalb seines Hauses gerufen hat.";;;;;;;;x;;;
form_scandinavia_NEWS_MEDIUM;Земли Севера объединились, чтобы создать новую нацию — Скандинавия. Толпа преимущественно светловолосых мужчин и женщин заполонила главную площадь Стокгольма в 5 часов ночи и кричала об утверждении нового государственного порядка.;;Die Lдnder des Nordens sind zusammengekommen um die Nation Skandinavien zu bilden. Eine zurьckhaltende Menge ьberwiegend blonder Mдnner und Frauen fьllen den Hauptplatz in Stockholm pьnktlich am Mittwoch um Punkt 17:00 und stimmten den politischen Verдnderungen zu.;;;;;;;;x;;;
form_scandinavia_NEWS_SHORT;Земли Севера объединились, чтобы создать новую нацию — Скандинавия. Толпа преимущественно светловолосых мужчин и женщин заполонила главную площадь Стокгольма в 5 часов ночи и кричала об утверждении нового государственного порядка.;;Die Lдnder des Nordens sind zusammengekommen um die Nation Skandinavien zu bilden. Eine Menge von Bьrgern дuЯerste hцflich nickend ihre Zustimmung zu den neuen politischen Zustдnden.;;;;;;;;x;;;
form_germany_NEWS_LONG;"TЗемли и люди Германии наконец-то объединились. На церемонии в Берлине в понедельник новая нация была объявлена улюлюканьем толпы и криками ""Ура!"". Германские националистические настроения начали нарастать после Наполеоновских войн, и многие государственные деятели считали эту идею нереализуемой. Однако, дипломаты были в страхе, когда поняли, что новый Левиафан способен нарушить баланс сил в мире, а его демографическая и промышленная мощь могла стать причиной войны за контроль над Европой.";;Die Lдnder und Vцlker von Deutschland haben sich wieder einmal vereinigt. Bei einer Zeremonie in Berlin am Montag wurde die Vereinigung der Nation unter wildem Hupen und schreienden Hurrahz verkьndet. Deutscher Nationalismus war seit den napoleonischen Zeiten auf dem Vormarsch, und viele Staatsmдnner sahen dieses Ereigniss als unvermeidlich an. Jedoch haben Diplomaten Zweifel an dem neuen Leviathan geдussert, da dieser das kontinentale Gleichgewicht der Mдchte verstцren kцnnte und die demographische und industrielle Macht einen Krieg in beispiellosen AusmaЯ in Europa verursachen, sollte das neue Deutschland die gegenwдrtigen Sicherheits-Systeme herausfordern.;;;;;;;;x;;;
form_germany_NEWS_MEDIUM;"Земли и люди Германии наконец-то объединились. На церемонии в Берлине в понедельник новая нация была объявлена улюлюканьем толпы и криками ""Ура!"". Германские националистические настроения начали нарастать после Наполеоновских войн, и многие государственные деятели считали эту идею нереализуемой. Однако, дипломаты были в страхе, когда поняли, что новый Левиафан способен нарушить баланс сил в мире, а его демографическая и промышленная мощь могла стать причиной войны.";;Die Vцlker von Deutschland sind vereint. Bei einer Zeremonie in Berlin am Montag, wurde die Vereinigung unter wildem hupen und schreienden Hurrahz verkьndet. Es wurden Befьrchtungen geдiЯert, dass der neue Leviathan das Gleichgwicht der Krдfte stцren kцnnte und einen Krieg beispiellosen AusmaЯes bringen wьrde.;;;;;;;;x;;;
form_germany_NEWS_SHORT;"Земли и люди Германии наконец-то объединились. На церемонии в Берлине в понедельник новая нация была объявлена улюлюканьем толпы и криками ""Ура!"". ";;Die Vцlker von Deutschland sind vereint. Bei einer Zeremonie in Berlin am Montag, wurde die Vereinigung unter wildem hupen und schreienden Hurrahz verkьndet.;;;;;;;;x;;;
form_italy_NEWS_LONG;"IИталия была объединена. Новая страна была образована после того, как шумная толпа единогласна потребовала объединения страны. Политики прислушались к гласу народа и страна стала единой. Многие забеспокоились, что страна может потребовать возвращения территорий, считающихся истинно Итальянскими, хотя бывалые политики головорят, что у новой нации пока нет достаточных сил, чтобы угрожать соседям. ""Мы вернем то. что наше по праву! Слава Италии!"" — прокричал человек в сложенную в трубку газету.";;"Italien wurde vereinigt. Der neue Staat wurde proklamiert nachdem das Volk sich schreiend erhob und mit einer Stimme verlangte eins zu sein. Unter wilden Szenen der Ekstase stimmten Politiker und Wьrdentrдger dem Willen des Volkes zu und vereinigten den neuen Staat. Дngste wurden geдuЯert das es versuchen kann mit Gewalt Lдndereien zu erobern welche als rechtmдЯig italienisch angenommen werden, jedoch sagen gelernte Gentlemдnner das diese neue Nation noch nicht die Macht hat seine Nachbarn zu bedrohen. ""Wir werden zurьckfordern was uns gehцrt! Es lebe Italien!"", verkьndete ein Mann durch eine zusammengerollte Zeitung.";;;;;;;;x;;;
form_italy_NEWS_MEDIUM;"Италия была объединена. Новая страна была образована после того, как шумная толпа единогласна потребовала объединения страны. Политики прислушались к гласу народа и страна стала единой. Многие забеспокоились, что страна может потребовать возвращения территорий, считающихся истинно Итальянскими, хотя бывалые политики головорят, что у новой нации пока нет достаточных сил, чтобы угрожать соседям. ""Мы вернем то. что наше по праву! Слава Италии!"" — прокричал человек в сложенную в трубку газету.";;"Italien wurde vereinigt. Der neue Staat wurde proklamiert nachdem das Volk sich schreiend erhob und mit einer Stimme verlangte eins zu sein. Unter wilden Szenen der Ekstase stimmten Politiker und Wьrdentrдger dem Willen des Volkes zu und vereinigten den neuen Staat. Дngste wurden geдuЯert das es versuchen kann mit Gewalt Lдndereien zu erobern welche als rechtmдЯig italienisch angenommen werden, jedoch sagen gelernte Gentlemдnner das diese neue Nation noch nicht die Macht hat seine Nachbarn zu bedrohen. ""Wir werden zurьckfordern was uns gehцrt! Es lebe Italien!"", verkьndete ein Mann durch eine zusammengerollte Zeitung.";;;;;;;;x;;;
form_italy_NEWS_SHORT;"Наконец-то Италия едина. ""Итальянский народ вернет то, что принадлежит ему по праву! Слаа Италии!"" — прокричал усатый велосипедист в свернутую в трубку газету.";;"Italien wurde endlich vereinigt. ""Das italienische Volk wird zurьckfordern was ihm rechtmдЯig zusteht!"" wurde von einem Mann durch eine zusammengerollte Zeitung verkьndet.";;;;;;;;x;;;
the_meiji_restoration_NEWS_LONG;Усиление западного влияния в Японии достигло своего апогея. Феодальная система, контролировавшая острова веками, была свержена, и Империя с центром в Токио была восстановлена. Новая эра социальных, политических и экономических реформ была провозглашена в воскресенье. Сегодня Сегун отказался от своей власти и эпоха Мейдзи(просветленное правление) вступила в свои права. Светлое будущее несомненно ожидает землю восходящего солнца под властью нового правительства, хотя некоторые люди считают, что новая Япония не сможет конкурировать с европейскими державами в Азии.;;Das Eindringen von westlichen Einflьssen in Japan hat das feudale Systems, welches die Inseln seit hunderten von Jahren beherrschte, sowie die Wiederherrstellung des Kaisers Einfluss in Tokyo gestьrtzt. Eine neue Дra der sozialen, politischen und wirtschaftlichen Reformen wurde am Mittwoch verkьndet, als der Shogun seine Macht aufgab und die Meiji (Erleuchtete Herrschaft) Дra verkьndete. Eine glдnzende Zukunft steht dem Land der steigenden Sonne bevor, obwohl einige Befьrchtungen geдuЯerten das dass neue Japan eventuell europдische Interessen in Asien streitig machen kцnnte.;;;;;;;;x;;;
the_meiji_restoration_NEWS_MEDIUM;Усиление западного влияния в Японии достигло своего апогея. Феодальная система, контролировавшая острова веками, была свержена, и Империя с центром в Токио была восстановлена. Новая эра социальных, политических и экономических реформ была провозглашена в воскресенье. Сегодня Сегун отказался от своей власти и эпоха Мейдзи(просветленное правление) вступила в свои права. Светлое будущее несомненно ожидает землю восходящего солнца под властью нового правительства, хотя некоторые люди считают, что новая Япония не сможет конкурировать с европейскими державами в Азии.;;Das Eindringen von westlichen Einflьssen in Japan hat den Sturz des feudalen Systems und der Wiederherrstellung des Kaisers gefьhrt, als die Meiji (Erleuchtete Herrschaft) Дra ausgerufen wurde. Einige haben die Befьrchtung geдuЯert, dass das neue Japan eventuell die europдischen Interessen in Asien anfechten kцnnte.;;;;;;;;x;;;
the_meiji_restoration_NEWS_SHORT;Усиление западного влияния в Японии достигло своего апогея. Старая феодальная система была свернута, и Империя с центром в Токио была восстановлена. Начинается эпоха Мейдзи(просвещенное правление).;;Eindringen westlicher Einflьsse in Japan gipfelten in dem Sturz des feudalen Systems und der Wiederherstellung des Kaisers in Tokyo, als die Meiji Дra verkьndet wurde.;;;;;;;;x;;;
kiel_canal_NEWS_LONG;Комбинация коммерческих и морских идей привела $TAG0_0$ к идее постройки ворот, которые позволят суднам путешествовать путешествовать между Балтийским и Северным морями без необходимости плыть через бурные моря вокруг Ютландии. Многие ожидают, что канал длиной в 61 милю быстро станет одним из самых популярных искусственным водным путем в мире. Проект предлагает новый импульс коммерции для всех морскхи держав, и подтверждает, что величие нации может быть заслужено производством, торговлей и инженерией, а не войной и завоеваниями.;;Eine Kombination aus Handels-und Kriegshafen fьhrte dazu das $TAG0_0$ auf die Idee kam einen kьnstlichen Wasserweg zu errichten, mit dem Schiffe zwischen der Nord-und Ostsee reisen kцnnen ohne durch die stьrmische See um Jutland herum zu mьssen. Von dem 61 Meilen langen Kanal wird erwartet das er in kьrzester Zeit zur verkehrreichsten kьnstlichen Wasserstrasse der Welt werden wird. Das Projekt bietet neue Impulse fьr den Handel aller maritimen Lдnder und beweiЯt, dass die GrцЯe einer Nation durch Produktion, Handel und Technik erreicht werden kann, anstatt durch Krieg und Eroberung.;;;;;;;;x;;;
kiel_canal_NEWS_MEDIUM;Многие ожидают, что канал длиной в 61 милю быстро станет одним из самых популярных искусственным водным путем в мире. Проект предлагает новый импульс коммерции для всех морскхи держав, и подтверждает, что величие нации может быть заслужено производством, торговлей и инженерией, а не войной и завоеваниями.;;Von dem 61 Meilen langen Kanal wird erwartet schnell zu einem der verkehrreisten kьnstlichem Wasserweg der Welt zu werden. Das Projekt bietet neue Impulse fьr Handel und beweiЯt das die GrцЯe einer Nation durch Produktion, Handel und Technik erreicht werden kann, anstatt durch Krieg und Eroberung.;;;;;;;;x;;;
kiel_canal_NEWS_SHORT;Многие ожидают, что Кильский канал длиной в 61 милю быстро станет одним из самых популярных искусственным водным путем в мире. Проект предлагает новый импульс коммерции для всех морскхи держав, и подтверждает, что величие нации может быть заслужено производством, торговлей и инженерией, а не войной и завоеваниями.;;Von dem 61 Meilen langen Kiel Kanal wird erwartet schnell zu der verkehrreichsten kьnstlichen Wasserstrasse der Welt zu werden. Das Projekt gibt neue Impulse fьr den Handel aller maritimen Lдnder.;;;;;;;;x;;;
suez_canal_NEWS_LONG;"Это день триумфа для $TAG0_0$, поскольку первый корабль в истории успешно проплыл через Суэцкий перешеек с помощью нового канала. Настоящее чудо инженерии, длиной 102 миль и глубиной в 26 фут Суэцкий канал ожидается стать одним из наиболее активных судоходных путей, устраняющим необходимость в трате огромных денег и времени на путешествие вокруг Африки. ""Плата за пересечение канала никогда не вернет денег, затраченных на постройку канала, а путь вокруг Африки останется доминирующим"" — говорят скептики в попытке преуменьшить важность этого канала.";;"Ein triumphaler Tag fьr $TAG0_0$ als das erste Schiff in der Geschichte erfolgreich den neu erцffneten Kanal ьber den Isthmus von Suez passierte. Ein wahres wunderwerk der modernsten Technik, von dem 102 Meilen lange und 26 Meter tiefe Suezkanal wird erwartet der weltweit aktivste Schifffahrtsweg zu werden, und somit die Frachtkosten zu senken. ""Die Versandkosten werden nie die Kosten der Wartung einbringen, die Route um Afrika wird dominant bleiben."" behaupten Skeptiker in einem Versuch die Bedeutung dieser Entwicklung zu verringern.";;;;;;;;x;;;
suez_canal_NEWS_MEDIUM;Это день триумфа для $TAG0_0$, поскольку первый корабль в истории успешно проплыл через Суэцкий перешеек с помощью нового канала. Настоящее чудо инженерии, длиной 102 миль и глубиной в 26 фут Суэцкий канал ожидается стать одним из наиболее активных судоходных путей, устраняющим необходимость в трате огромных денег и времени на путешествие вокруг Африки. ;;Ein triumphaler Tag fьr $TAG0_0$ als das erste Schiff erfolgreich durch den neu erцffneten Kanal ьber den Isthmus von Suez fдhrt. Ein wahres Wunderwerk der modernen Technik, wird der 102 Meilen lange Suezkanal vorraussichtlich bald einer der weltweit aktivsten Schifffahrtswege.;;;;;;;;x;;;
suez_canal_NEWS_SHORT;Это день триумфа для $TAG0_0$, поскольку первый корабль в истории успешно прошел через Суэцкий перешеек с помщью нового канала длиной в 102 мили и глубиной в 26 фут.;;Ein triumphaler Tag fьr $TAG0_0$ als das erste Schiff in der Geschichte erfolgreich durch den neuerцffneten 102 Meilen langen und 26 Meter tiefen Kanal ьber den Isthmus von Suez fдhrt.;;;;;;;;x;;;
panama_canal_NEWS_LONG;"День открытия канала через Панамский перешеек — день гордости $TAG0_0$. Длина канала 48 миль, и, на самом деле, это закрытый шлюз глубиной 85 фут ниже уровня моря со сложными люками на обоих концах. Он был построен в одной из самых ""болезненных"" территорий планеты, поэтому это не столько памятник инженерии, сколько памятник медицины. Канал должен быстро стать важным дополнением к международной морской торговле, а эксперты говорят, что обладатель канала будет иметь большое стратегическое преимущество.";;Die Цffnung eines Kanals durch die Landenge von Panama ist ein stolzer Tag fьr $TAG0_0$. Der Kanal ist 48 Meilen lang und ist in der Tat ein abgesperrter Wasserweg, 85 Meter ьber dem Wasserspiegel, mit einigen der kompliziertesten Schlцssern an beiden Enden. Es wurde in einer der ungesundesten Gebieten der gesamten Erde errichtet, sodass es ein Denkmal fьr die moderne Technik sowie der modernen Medizin zu betrachten ist. Von dem Kanal wird erwartet schnell eine wichtige Leitung im internationalen Seehandel zu werden. Auch Experten behaupten das dieser Kanal eine strategische Rolle in Kriegszeiten spielen wird.;;;;;;;;x;;;
panama_canal_NEWS_MEDIUM;нженерии, сколько памятник медицины. ;;Die Цffnung eines Kanals durch den Isthmus von Panama ist ein stolzer Tag fьr $TAG0_0$. Der Kanal ist 48 Meilen lang und ist in Fakt ein abgesperrter Wasserweg, 85 Meter ьber dem Meeresspiegel. Gebaut in einer der ungesьndesten Gebiete ist der Kanal ein Denkmal and die moderne Technik und Medizin.;;;;;;;;x;;;
panama_canal_NEWS_SHORT;День открытия канала через Панамский перешеек — день гордости $TAG0_0$. Длина канала 48 миль, и, на самом деле, это закрытый шлюз глубиной 85 фут ниже уровня моря со сложными люками на обоих концах. ;;Die Цffnung eines Kanals durch die Landenge von Panama ist ein stolzer Tag fьr $TAG0_0$. Der Kanal ist 48 Meilen lang und ist ein abgesperrter Wasserweg, welcher 85 Meter ьber dem Meeresspiegel liegt, und mit einigen der komplizierten Schlцssern ausgestattet ist.;;;;;;;;x;;;
empress_of_india_NEWS_LONG;"В продолжение ""Имперского Дурбара"" в Дели, королевская прокламация, объявляющая о получении королевой Викторией титула ""Императрица Индии"", была прочитана на колонне на Трафальгарской площади. Индия не имела коронованного правителя с тех пор, как Империя Великих Моголов была вытеснена Британской Ост-Индской Компанией. После роспуска Компании, были высказаны мнения о том, что власть Королевы над многими индийскими князьями должна быть подтверждена императорским титулом. Премьер-министр  Беджамин дизраэли считается автором этой идеи.";;"Nach der ""kaiserlichen Durbar"" in Delhi wurde am FuЯe der Sдule auf dem Trafalgar Square die kцnigliche Proklamation verkьndet, dass Kцnigin Victoria den Titel ""Kaisierin von Indien"" erhaltet. Indien besitzte keinen gekrцnten Herrscher, seit die British East India Company den letzten Mughal Kaiser absetzte. Nach der Auflцsung der Gesellschaft wurden Meinungen geдuЯert, dass die Ьberlegenheit der Kцnigin ьber die vielen indischen Fьrsten durch die Annahme des kaiserlichen Titel bestдtigt werden sollte. Premierminister Benjamin Disraeli ist diese Idee zuzuschreiben.";;;;;;;;x;;;
empress_of_india_NEWS_MEDIUM;"В продолжение ""Имперского Дурбара"" в Дели, королевская прокламация, объявляющая о получении королевой Викторией титула ""Императрица Индии"", была прочитана на колонне на Трафальгарской площади. Индия не имела коронованного правителя с тех пор, как Империя Великих Моголов была вытеснена Британской Ост-Индской Компанией. После роспуска Компании, были высказаны мнения о том, что власть Королевы над многими индийскими князьями должна быть подтверждена императорским титулом.";;"Nach der ""kaiserlichen Durbar"" in Delhi wurde am FuЯe der Sдule auf dem Trafalgar Square die kцnigliche Proklamation verkьndet, dass Kцnigin Victoria den Titel ""Kaisierin von Indien"" erhaltet. Der imperiale Tital bestдtigt der Kцnigin Ьberlegenheit gegenьber den indischen Fьrsten.";;;;;;;;x;;;
empress_of_india_NEWS_SHORT;"В продолжение официального ""Императорского Дурбара"" (собрания) в Дели, королевская прокломация получения Королевой Викторией титула ""Императрицы Индии"" была прочитана на Трафальгарской площади.";;"Nach der ""kaiserlichen Durbar"" in Delhi wurde am FuЯe der Sдule auf dem Trafalgar Square die kцnigliche Proklamation verkьndet, dass Kцnigin Victoria den Titel ""Kaisierin von Indien"" erhaltet.";;;;;;;;x;;;
COUNTRYALERT_ColonialGood_invest;§GМы можем инвестировать в нашу колонию в §!§Y$REGION$§!;;§GWir kцnnen in eine unserer Kolonien in §!§YREGION$§! investieren!;;;;;;;;;;x;
